1:0,0,1,2,2,0
1:0,0,1,2,2,0
1:0,0,1,2,2,0
1:0,0,1,2,2,0

2:2,4,4,4,2,7
1:2,4,4,4,2,7

2:2,2,3,4,4,2
1:2,2,3,4,4,2

2:2,4,4,4,2,7
2:2,4,4,4,2,7

4:2,0,2,1,2,5

2:2,0,2,1,2,5
2:2,0,2,1,2,5

2:2,2,3,4,4,2
2:2,2,3,4,4,2

2:0,0,1,2,2,0
2:0,0,1,2,2,0

2:0,3,1,2,2,0
2:0,3,1,2,2,0

1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7

1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11

1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4

1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9

1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7

1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11

1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4

1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9

1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7

1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11

1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4

1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9

1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7
1:2,4,4,4,2,7

1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11
1:6,8,8,8,6,11

1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4
1:4,4,5,6,6,4

1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9
1:4,6,6,6,4,9
